filepath,line_number,line_id,original_text,translated_text
sharedassets0\Chazokov.yarn.txt,140,de02d9,"Mae: Well, I'm going to live forever. :)","Mae: Eh, ben sonsuza kadar yaşayacağım. :)"
sharedassets0\Chazokov.yarn.txt,141,ab575d,"Chazokov: I know you will, Mae.","Chazokov: Bunu yapacağını biliyorum, Mae."
sharedassets0\Chazokov.yarn.txt,142,90206c,Mae: I'm an effing Dracula. \o/,Mae: Ben bi' Drakulayım. \o/
sharedassets0\Chazokov.yarn.txt,143,756e7e,Chazokov: Oh no!,Chazokov: Oh olamaz!
sharedassets0\Chazokov.yarn.txt,144,ee4349,Mae: :| _o_,Mae: :| _o_
sharedassets0\Chazokov.yarn.txt,153,6fd2ac,Mae: <o>,Mae: <o>
sharedassets0\Chazokov.yarn.txt,154,f1daf4,Mae: Are you an astrologer or something?,Mae: Sen bir astrolog falan mısın?
sharedassets0\Chazokov.yarn.txt,155,74f5ad,"Chazokov: The word is [wave]astronomer[/wave], and I am but an amateur.","Chazokov: Aradığın kelime [wave]astronom[/wave], ve ben sadece bir amatörüm."
sharedassets0\Chazokov.yarn.txt,156,a58a14,Mae: You know a lot for someone who isn't paid to know about it.,Mae: Bu işten para almayan birine göre çok fazla şey biliyorsun.
sharedassets0\Chazokov.yarn.txt,157,39be2d,Chazokov: That is one of the saddest sentences I've ever heard.,Chazokov: Bu duyduğum en üzücü cümlelerden biri.
sharedassets0\Chazokov.yarn.txt,159,c93ec4,Mae: _o_,Mae: _o_
sharedassets0\Chazokov.yarn.txt,160,976668,Mae: Sorry?,Mae: Üzgünüm?
sharedassets0\Chazokov.yarn.txt,161,872a8f,"Chazokov: Come back some evening, we'll cram some stars into that head of yours.","Chazokov: Bir akşam tekrar gel, kafana birkaç tane yıldız sıkıştıralım."
sharedassets0\Chazokov.yarn.txt,162,46f60a,Mae: :),Mae: :)
sharedassets0\Chazokov.yarn.txt,163,08fcea,Mae: Will do!,Mae: Tamamdır!
sharedassets0\Chazokov.yarn.txt,164,5d32d8,Mae: :|,Mae: :|
sharedassets0\Chazokov.yarn.txt,172,3260df,Chazokov: My roof is your roof!,Chazokov: Benim çatım senin çatındır!
sharedassets0\Chazokov.yarn.txt,181,7d24a5,Mae: That was pretty great.,Mae: That was pretty great.
sharedassets0\Chazokov.yarn.txt,182,9d89af,Chazokov: We can look again in two days time.,Chazokov: We can look again in two days time.
sharedassets0\Chazokov.yarn.txt,183,c5a6b3,Chazokov: Will you be back?,Chazokov: Will you be back?
sharedassets0\Chazokov.yarn.txt,184,a21f6e,-> Yeah if I remember!,-> Yeah if I remember!
sharedassets0\Chazokov.yarn.txt,185,005bf2,-> Probably not.,-> Probably not.
sharedassets0\Chazokov.yarn.txt,186,67b973,"Chazokov: Oh, you will be.","Chazokov: Oh, you will be."
sharedassets0\Chazokov.yarn.txt,187,a50da4,Chazokov: No one can resist the stars forever.,Chazokov: No one can resist the stars forever.
sharedassets0\Chazokov.yarn.txt,188,304062,"Mae: That’s spooky, Mr. Chazokov.","Mae: That’s spooky, Mr. Chazokov."
sharedassets0\Chazokov.yarn.txt,189,3a5ef3,Chazokov: Beh heh heh hehe.,Chazokov: Beh heh heh hehe.
sharedassets0\Chazokov.yarn.txt,281,65c8ed,Chazokov: Mae Borowski! You could have knocked on the door down there.,Chazokov: Mae Borowski! You could have knocked on the door down there.
sharedassets0\Chazokov.yarn.txt,282,4af613,Chazokov: Impolite to be on other people’s roofs!,Chazokov: Impolite to be on other people’s roofs!
sharedassets0\Chazokov.yarn.txt,283,903270,Varney: Next time I’m gonna call the cops!,Varney: Next time I’m gonna call the cops!
sharedassets0\Chazokov.yarn.txt,284,bde8e7,Mae: Whatever.,Mae: Whatever.
sharedassets0\Chazokov.yarn.txt,285,5eb604,Chazokov: Beh heh heh heh!,Chazokov: Beh heh heh heh!
sharedassets0\Chazokov.yarn.txt,286,d9b95b,"Chazokov: At any rate, I am glad you have accepted my invitation!","Chazokov: At any rate, I am glad you have accepted my invitation!"
sharedassets0\Chazokov.yarn.txt,287,375644,Mae: What are you doing anyway?,Mae: What are you doing anyway?
sharedassets0\Chazokov.yarn.txt,288,9bf9b3,Chazokov: Hunting dusk stars!,Chazokov: Hunting dusk stars!
sharedassets0\Chazokov.yarn.txt,289,65e983,-> What’s dusk stars?,-> What’s dusk stars?
sharedassets0\Chazokov.yarn.txt,290,2e4d7b,Chazokov: Wandering stars the light of which does not come through at night.,Chazokov: Wandering stars the light of which does not come through at night.
sharedassets0\Chazokov.yarn.txt,291,13bc38,Mae: How does that work?,Mae: How does that work?
sharedassets0\Chazokov.yarn.txt,292,44c0e3,Chazokov: It is a trick of the atmosphere and setting sunlight.,Chazokov: It is a trick of the atmosphere and setting sunlight.
sharedassets0\Chazokov.yarn.txt,293,32e63b,"Chazokov: Only visible for few weeks every year in the spring and fall, so lovely.","Chazokov: Only visible for few weeks every year in the spring and fall, so lovely."
sharedassets0\Chazokov.yarn.txt,294,bcbd4e,Mae: Neato.,Mae: Neato.
sharedassets0\Chazokov.yarn.txt,295,f30d6e,-> Dusk Stars is the name of my shoegaze band.,-> Dusk Stars is the name of my shoegaze band.
sharedassets0\Chazokov.yarn.txt,296,3ee328,Chazokov: Really?,Chazokov: Really?
sharedassets0\Chazokov.yarn.txt,297,6abfa4,Mae: No.,Mae: No.
sharedassets0\Chazokov.yarn.txt,298,d20e4f,Chazokov: It is music of looking at shoes?,Chazokov: It is music of looking at shoes?
sharedassets0\Chazokov.yarn.txt,299,8f662a,Mae: With a lot of reverb.,Mae: With a lot of reverb.
sharedassets0\Chazokov.yarn.txt,300,89e1a0,Chazokov: Why are we talking about shoes?,Chazokov: Why are we talking about shoes?
sharedassets0\Chazokov.yarn.txt,301,de6e3a,Mae: I forget.,Mae: I forget.
sharedassets0\Chazokov.yarn.txt,302,1762ae,Chazokov: Want to have a look?,Chazokov: Want to have a look?
sharedassets0\Chazokov.yarn.txt,303,7f3c22,-> Yeah!,-> Yeah!
sharedassets0\Chazokov.yarn.txt,304,0d77c0,Chazokov: Excellent!!!,Chazokov: Excellent!!!
sharedassets0\Chazokov.yarn.txt,308,a59dbc,-> Maybe later.,-> Maybe later.
sharedassets0\Chazokov.yarn.txt,309,79fa3b,Chazokov: Suit yourself. I’ll be up here all afternoon.,Chazokov: Suit yourself. I’ll be up here all afternoon.
sharedassets0\Chazokov.yarn.txt,310,309ad4,Mae: See ya!,Mae: See ya!
sharedassets0\Chazokov.yarn.txt,319,768d39,Mae: Wow. That was pretty great.,Mae: Wow. That was pretty great.
sharedassets0\Chazokov.yarn.txt,320,e31a00,Chazokov: Come by again!,Chazokov: Come by again!
sharedassets0\Chazokov.yarn.txt,321,77a138,Chazokov: couple days!,Chazokov: couple days!
sharedassets0\Chazokov.yarn.txt,322,570267,Chazokov: we shall hunt the stars!,Chazokov: we shall hunt the stars!
sharedassets0\Chazokov.yarn.txt,323,20c568,Chazokov: BEH HEH HEH!,Chazokov: BEH HEH HEH!
sharedassets0\Chazokov.yarn.txt,336,20f977,Chazokov: Mae Borowski!,Chazokov: Mae Borowski!
sharedassets0\Chazokov.yarn.txt,337,3eee4b,Mae: Yep!,Mae: Yep!
sharedassets0\Chazokov.yarn.txt,338,496119,Chazokov: Up here on my roof!,Chazokov: Up here on my roof!
sharedassets0\Chazokov.yarn.txt,339,523388,Mae: Yep!,Mae: Yep!
sharedassets0\Chazokov.yarn.txt,341,4821d5,Chazokov: Come to hunt some dusk stars?,Chazokov: Come to hunt some dusk stars?
sharedassets0\Chazokov.yarn.txt,342,95e4c6,-> Definitely!,-> Definitely!
sharedassets0\Chazokov.yarn.txt,343,64a039,Chazokov: Come have a look!,Chazokov: Come have a look!
sharedassets0\Chazokov.yarn.txt,347,f00463,-> No thanks!,-> No thanks!
sharedassets0\Chazokov.yarn.txt,348,75cb49,Chazokov: Suit yourself!,Chazokov: Suit yourself!
sharedassets0\Chazokov.yarn.txt,357,2d2999,Mae: Wow. That was pretty great.,Mae: Wow. That was pretty great.
sharedassets0\Chazokov.yarn.txt,358,bdeff7,Chazokov: Yes it was! More in a couple days?,Chazokov: Yes it was! More in a couple days?
sharedassets0\Chazokov.yarn.txt,371,79e581,Chazokov: Ms. Mae Borowski!,Chazokov: Ms. Mae Borowski!
sharedassets0\Chazokov.yarn.txt,372,0f4693,Mae: Present!,Mae: Present!
sharedassets0\Chazokov.yarn.txt,373,9ab366,Chazokov: MMM! Smell the autumn winds!,Chazokov: MMM! Smell the autumn winds!
sharedassets0\Chazokov.yarn.txt,374,a2719b,Mae: yeah. hard to miss it.,Mae: yeah. hard to miss it.
sharedassets0\Chazokov.yarn.txt,375,dcaeee,Chazokov: one should not miss such a thing.,Chazokov: one should not miss such a thing.
sharedassets0\Chazokov.yarn.txt,376,9450cb,"Chazokov: talking of,","Chazokov: talking of,"
sharedassets0\Chazokov.yarn.txt,378,13f606,Chazokov: Want to see some stars?,Chazokov: Want to see some stars?
sharedassets0\Chazokov.yarn.txt,379,eedc67,-> Yeah!,-> Yeah!
sharedassets0\Chazokov.yarn.txt,380,54809e,Chazokov: Come have a look!,Chazokov: Come have a look!
sharedassets0\Chazokov.yarn.txt,384,c986be,-> No thanks,-> No thanks
sharedassets0\Chazokov.yarn.txt,385,f062f4,Chazokov: Suit yourself!,Chazokov: Suit yourself!
sharedassets0\Chazokov.yarn.txt,394,c111ca,Chazokov: Mae!,Chazokov: Mae!
sharedassets0\Chazokov.yarn.txt,395,21b8f9,Mae: Mr. Chazokov!,Mae: Mr. Chazokov!
sharedassets0\Chazokov.yarn.txt,396,2035a4,"Chazokov: you look at bit worse for wear today, Mae.","Chazokov: you look at bit worse for wear today, Mae."
sharedassets0\Chazokov.yarn.txt,397,c1a36a,"Mae: oh, I'm fine.","Mae: oh, I'm fine."
sharedassets0\Chazokov.yarn.txt,398,30d252,"Mae: i made it up here, didn't i?","Mae: i made it up here, didn't i?"
sharedassets0\Chazokov.yarn.txt,399,482a9f,"Chazokov: watch yourself, lest you fall!","Chazokov: watch yourself, lest you fall!"
sharedassets0\Chazokov.yarn.txt,400,94c25e,Mae: will do.,Mae: will do.
sharedassets0\Chazokov.yarn.txt,402,f4dc6a,Chazokov: Here to see some stars?,Chazokov: Here to see some stars?
sharedassets0\Chazokov.yarn.txt,403,a6f2e6,-> You know it!,-> You know it!
sharedassets0\Chazokov.yarn.txt,404,523d84,Chazokov: Come have a look!,Chazokov: Come have a look!
sharedassets0\Chazokov.yarn.txt,408,1f8ea7,-> No thanks,-> No thanks
sharedassets0\Chazokov.yarn.txt,409,bd3d70,Chazokov: Suit yourself!,Chazokov: Suit yourself!
sharedassets0\Chazokov.yarn.txt,418,8a5de6,"Mae: Pretty sweet. The stars, I mean.","Mae: Pretty sweet. The stars, I mean."
sharedassets0\Chazokov.yarn.txt,419,513221,Chazokov: I am in agreement,Chazokov: I am in agreement
sharedassets0\Chazokov.yarn.txt,430,aa9533,Mae: So uh,Mae: So uh
sharedassets0\Chazokov.yarn.txt,431,214911,Mae: are those star stories supposed to have morals or something?,Mae: are those star stories supposed to have morals or something?
sharedassets0\Chazokov.yarn.txt,432,bfa9e1,"Chazokov: I think you have to figure that out for yourself, Mae.","Chazokov: I think you have to figure that out for yourself, Mae."
sharedassets0\Chazokov.yarn.txt,433,136019,Mae: If it only means something because I want it to,Mae: If it only means something because I want it to
sharedassets0\Chazokov.yarn.txt,434,377c07,"Mae: then it doesn’t really mean anything, right?","Mae: then it doesn’t really mean anything, right?"
sharedassets0\Chazokov.yarn.txt,435,bfa214,Chazokov: ...,Chazokov: ...
sharedassets0\Chazokov.yarn.txt,436,ecbab7,Mae: What?,Mae: What?
sharedassets0\Chazokov.yarn.txt,437,4e0ad4,Chazokov: I have to think about that one for a bit.,Chazokov: I have to think about that one for a bit.
sharedassets0\Chazokov.yarn.txt,446,2c0d65,Chazokov: Change your mind?,Chazokov: Change your mind?
sharedassets0\Chazokov.yarn.txt,447,9c0fc1,-> Yeah... I mean... stars are cool.,-> Yeah... I mean... stars are cool.
sharedassets0\Chazokov.yarn.txt,448,5bf62e,Chazokov: That thought has been the basis of my entire career.,Chazokov: That thought has been the basis of my entire career.
sharedassets0\Chazokov.yarn.txt,449,84f14a,Chazokov: Have a look!,Chazokov: Have a look!
sharedassets0\Chazokov.yarn.txt,453,27b0d6,"-> No, just looking at your telescope.","-> No, just looking at your telescope."
sharedassets0\Chazokov.yarn.txt,454,40e9da,Chazokov: She’s a beauty!,Chazokov: She’s a beauty!
sharedassets0\Chazokov.yarn.txt,461,c3f2e3,Chazokov: Hey Mae.,Chazokov: Hey Mae.
sharedassets0\Chazokov.yarn.txt,462,9c152b,Mae: Hey Mr. Chazokov!,Mae: Hey Mr. Chazokov!
sharedassets0\Chazokov.yarn.txt,464,d97670,Chazokov: you back from college?,Chazokov: you back from college?
sharedassets0\Chazokov.yarn.txt,465,0d450e,Mae: dropped out.,Mae: dropped out.
sharedassets0\Chazokov.yarn.txt,466,37af77,Chazokov: oh.,Chazokov: oh.
sharedassets0\Chazokov.yarn.txt,467,6e4984,Mae: yeah.,Mae: yeah.
sharedassets0\Chazokov.yarn.txt,468,bac13c,Chazokov: you know I watch you run by so often,Chazokov: you know I watch you run by so often
sharedassets0\Chazokov.yarn.txt,469,55b1f1,Chazokov: and yet,Chazokov: and yet
sharedassets0\Chazokov.yarn.txt,470,e23c6d,Chazokov: this is the first we've spoken since you've been home.,Chazokov: this is the first we've spoken since you've been home.
sharedassets0\Chazokov.yarn.txt,471,cf23fa,Mae: That's odd.,Mae: That's odd.
sharedassets0\Chazokov.yarn.txt,472,88c4d0,Mae: are you up here all the time?,Mae: are you up here all the time?
sharedassets0\Chazokov.yarn.txt,473,8d7ba9,Chazokov: rather often. It's a great vantage point!,Chazokov: rather often. It's a great vantage point!
sharedassets0\Chazokov.yarn.txt,474,cc44ca,Chazokov: you should stop by sometime! see the universe!,Chazokov: you should stop by sometime! see the universe!
sharedassets0\Chazokov.yarn.txt,475,309682,"Mae: sounds like a plan, Mr. Chazokov.","Mae: sounds like a plan, Mr. Chazokov."
sharedassets0\Chazokov.yarn.txt,476,7ddc81,"Chazokov: you take care, mae!","Chazokov: you take care, mae!"
sharedassets0\Chazokov.yarn.txt,479,27a81f,Mae: Got any more dusk stars we can look at?,Mae: Got any more dusk stars we can look at?
sharedassets0\Chazokov.yarn.txt,480,31fde3,Chazokov: one more!,Chazokov: one more!
sharedassets0\Chazokov.yarn.txt,493,867e6a,Mae: so what now?,Mae: so what now?
sharedassets0\Chazokov.yarn.txt,494,651273,Chazokov: Super moon is coming!,Chazokov: Super moon is coming!
sharedassets0\Chazokov.yarn.txt,495,a7d9c4,Mae: what is that?,Mae: what is that?
sharedassets0\Chazokov.yarn.txt,496,cfddda,Chazokov: A GIANT MOON!!!!!,Chazokov: A GIANT MOON!!!!!
sharedassets0\Chazokov.yarn.txt,497,80eedf,Mae: ooooooh that does sound super.,Mae: ooooooh that does sound super.
sharedassets0\Chazokov.yarn.txt,498,8636b3,Chazokov: you must come meet me when it happens,Chazokov: you must come meet me when it happens
sharedassets0\Chazokov.yarn.txt,499,9e6150,Chazokov: it will be late at night,Chazokov: it will be late at night
sharedassets0\Chazokov.yarn.txt,500,27a7fc,Chazokov: there will be others on their roofs,Chazokov: there will be others on their roofs
sharedassets0\Chazokov.yarn.txt,501,520922,"Chazokov: you come, i will make the hot chocolate","Chazokov: you come, i will make the hot chocolate"
sharedassets0\Chazokov.yarn.txt,502,105580,Chazokov: WHAT A TIME!!!!,Chazokov: WHAT A TIME!!!!
sharedassets0\Chazokov.yarn.txt,503,513f7a,Mae: that sounds great!!!,Mae: that sounds great!!!
sharedassets0\Chazokov.yarn.txt,504,b0a188,Mae: I want to see a super moon!!!,Mae: I want to see a super moon!!!
sharedassets0\Chazokov.yarn.txt,505,f8410a,Chazokov: PLAN ON IT!,Chazokov: PLAN ON IT!
sharedassets0\Chazokov.yarn.txt,506,ec452f,"Mae: see you later, Mr. Chazokov.","Mae: see you later, Mr. Chazokov."
sharedassets0\Chazokov.yarn.txt,507,92e638,"Chazokov: See you soon, stargazer.","Chazokov: See you soon, stargazer."
sharedassets0\Chazokov.yarn.txt,519,449574,Mae: <o>,Mae: <o>
sharedassets0\Chazokov.yarn.txt,520,1396c3,Mae: Are you an astrologer or something?,Mae: Are you an astrologer or something?
sharedassets0\Chazokov.yarn.txt,521,2c7011,"Chazokov: The word is [wave]astronomer[/wave], and I am but an amateur.","Chazokov: The word is [wave]astronomer[/wave], and I am but an amateur."
sharedassets0\Chazokov.yarn.txt,522,24fc9e,Mae: You know a lot for someone who isn't paid to know about it.,Mae: You know a lot for someone who isn't paid to know about it.
sharedassets0\Chazokov.yarn.txt,523,484289,Chazokov: That is one of the saddest sentences I've ever heard.,Chazokov: That is one of the saddest sentences I've ever heard.
sharedassets0\Chazokov.yarn.txt,525,12f096,Mae: _o_,Mae: _o_
sharedassets0\Chazokov.yarn.txt,526,89f3f3,Mae: Sorry?,Mae: Sorry?
sharedassets0\Chazokov.yarn.txt,527,c288ce,"Chazokov: Come back in a couple days, we'll cram some stars into that head of yours.","Chazokov: Come back in a couple days, we'll cram some stars into that head of yours."
sharedassets0\Chazokov.yarn.txt,528,8d6962,Mae: :),Mae: :)
sharedassets0\Chazokov.yarn.txt,529,3f106d,Mae: Will do!,Mae: Will do!
sharedassets0\Chazokov.yarn.txt,530,129ffc,Mae: :|,Mae: :|
sharedassets0\Chazokov.yarn.txt,538,d7ceeb,Mae: so how many stars are there?,Mae: so how many stars are there?
sharedassets0\Chazokov.yarn.txt,539,96c9d7,Chazokov: ...,Chazokov: ...
sharedassets0\Chazokov.yarn.txt,540,c4c1db,Mae: what?,Mae: what?
sharedassets0\Chazokov.yarn.txt,542,f0f8a5,Mae: i mean the ones we're looking for!,Mae: i mean the ones we're looking for!
sharedassets0\Chazokov.yarn.txt,543,59c763,Chazokov: should be a few left. but who can say?,Chazokov: should be a few left. but who can say?
sharedassets0\Chazokov.yarn.txt,544,d3559f,Chazokov: we can only point our telescopes and look.,Chazokov: we can only point our telescopes and look.
sharedassets0\Chazokov.yarn.txt,552,46545,Chazokov: Well!,Chazokov: Well!
sharedassets0\Chazokov.yarn.txt,553,6a11de,Mae: well.,Mae: well.
sharedassets0\Chazokov.yarn.txt,554,a1326c,Chazokov: The stars!,Chazokov: The stars!
sharedassets0\Chazokov.yarn.txt,555,f6e3bb,Mae: yep.,Mae: yep.
sharedassets0\Chazokov.yarn.txt,556,dd1785,Chazokov: mae you should go home and get in bed,Chazokov: mae you should go home and get in bed
sharedassets0\Chazokov.yarn.txt,557,710bff,Mae: nah.,Mae: nah.
sharedassets0\Chazokov.yarn.txt,558,430404,Chazokov: at least come down through the house,Chazokov: at least come down through the house
sharedassets0\Chazokov.yarn.txt,559,15de78,Chazokov: so you don't break your neck falling off a roof.,Chazokov: so you don't break your neck falling off a roof.
sharedassets0\Chazokov.yarn.txt,560,3b1520,Mae: i'm good.,Mae: i'm good.
sharedassets0\Chazokov.yarn.txt,561,e59d11,Chazokov: i will watch you go,Chazokov: i will watch you go
sharedassets0\Chazokov.yarn.txt,562,e5a654,Chazokov: and call the ambulance if needed.,Chazokov: and call the ambulance if needed.
sharedassets0\Chazokov.yarn.txt,563,5df403,Mae: thanks. that's really nice.,Mae: thanks. that's really nice.
sharedassets0\Chazokov.yarn.txt,564,6981c2,Chazokov: least i can do!,Chazokov: least i can do!
sharedassets0\Chazokov.yarn.txt,573,a51068,Mae: I give up. :( \o/,Mae: I give up. :( \o/
sharedassets0\Chazokov.yarn.txt,574,e9fb63,"Chazokov: You give up too easily, Mae Borowski!","Chazokov: You give up too easily, Mae Borowski!"
sharedassets0\Chazokov.yarn.txt,575,e2deca,Mae: :| _o_,Mae: :| _o_
sharedassets0\Chazokov.yarn.txt,577,f5de97,Mae: Argggh! I'll never figure this out. :( \o/,Mae: Argggh! I'll never figure this out. :( \o/
sharedassets0\Chazokov.yarn.txt,578,48e634,Chazokov: That's the attitude!,Chazokov: That's the attitude!
sharedassets0\Chazokov.yarn.txt,579,b8ae07,Mae: :| _o_,Mae: :| _o_
